"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","2","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Wed Jan 18 09:13:44 IST 2023","Wed Jan 18 09:13:44 IST 2023","67","","Verify login for Orange HRM","","","","TC 02",""
"passed","Fri Jan 13 00:09:38 IST 2023","Fri Jan 13 00:09:38 IST 2023","348","","Cypress.version","","","","Get current version of Cypress being run",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
"skipped","Fri Jan 13 00:13:21 IST 2023","Fri Jan 13 00:13:21 IST 2023","1","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Fri Jan 13 00:11:30 IST 2023","Fri Jan 13 00:11:35 IST 2023","5216","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"failed","Fri Jan 13 00:14:01 IST 2023","Fri Jan 13 00:14:23 IST 2023","22298","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Fri Jan 13 00:10:29 IST 2023","Fri Jan 13 00:10:30 IST 2023","438","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Fri Jan 13 00:08:33 IST 2023","Fri Jan 13 00:08:34 IST 2023","1004","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Fri Jan 13 00:09:35 IST 2023","Fri Jan 13 00:09:35 IST 2023","432","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Wed Jan 18 09:12:41 IST 2023","Wed Jan 18 09:12:42 IST 2023","875","","example to-do app","","","","can add new todo items",""
"skipped","Fri Jan 13 00:17:45 IST 2023","Fri Jan 13 00:17:45 IST 2023","0","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Fri Jan 13 00:11:12 IST 2023","Fri Jan 13 00:11:17 IST 2023","4714","","Network Requests","","","","cy.request() - make an XHR request",""
"failed","Fri Jan 13 00:15:30 IST 2023","Fri Jan 13 00:15:52 IST 2023","22002","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"broken","Fri Jan 13 00:17:22 IST 2023","Fri Jan 13 00:17:45 IST 2023","22319","","Utilities","","","","Cypress._ - call a lodash method",""
"broken","Fri Jan 13 00:19:20 IST 2023","Fri Jan 13 00:19:43 IST 2023","22371","","Window","","","","cy.window() - get the global window object",""
"passed","Fri Jan 13 00:08:55 IST 2023","Fri Jan 13 00:08:56 IST 2023","502","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Fri Jan 13 00:10:54 IST 2023","Fri Jan 13 00:10:55 IST 2023","1503","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Fri Jan 13 00:10:30 IST 2023","Fri Jan 13 00:10:35 IST 2023","4814","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Fri Jan 13 00:07:43 IST 2023","Fri Jan 13 00:07:45 IST 2023","2266","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Fri Jan 13 00:10:12 IST 2023","Fri Jan 13 00:10:12 IST 2023","366","","Location","","","","cy.url() - get the current URL",""
"passed","Fri Jan 13 00:10:10 IST 2023","Fri Jan 13 00:10:11 IST 2023","1259","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Fri Jan 13 00:08:56 IST 2023","Fri Jan 13 00:08:57 IST 2023","476","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Fri Jan 13 00:11:22 IST 2023","Fri Jan 13 00:11:28 IST 2023","6009","","Network Requests","","","","cy.request() - pass result to the second request",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".closest() - get closest ancestor DOM element",""
"passed","Fri Jan 13 00:09:32 IST 2023","Fri Jan 13 00:09:33 IST 2023","1508","","Cypress.Commands","","","",".add() - create a custom command",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Fri Jan 13 00:09:51 IST 2023","Fri Jan 13 00:09:51 IST 2023","313","","Files","","","","cy.readFile() - read file contents",""
"passed","Fri Jan 13 00:07:26 IST 2023","Fri Jan 13 00:07:33 IST 2023","6443","","Actions","","","",".type() - type into a DOM element",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".next() - get next sibling DOM element",""
"skipped","Fri Jan 13 00:19:43 IST 2023","Fri Jan 13 00:19:43 IST 2023","1","","Window","","","","cy.document() - get the document object",""
"passed","Fri Jan 13 00:08:32 IST 2023","Fri Jan 13 00:08:32 IST 2023","581","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"failed","Fri Jan 13 00:14:23 IST 2023","Fri Jan 13 00:14:45 IST 2023","21854","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"broken","Fri Jan 13 00:16:32 IST 2023","Fri Jan 13 00:16:55 IST 2023","22204","","Traversal","","","",".children() - get child DOM elements",""
"passed","Fri Jan 13 00:08:13 IST 2023","Fri Jan 13 00:08:15 IST 2023","2013","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Fri Jan 13 00:08:57 IST 2023","Fri Jan 13 00:08:58 IST 2023","412","Connectors",".then()","","","","yields the original subject without return",""
"passed","Fri Jan 13 00:08:32 IST 2023","Fri Jan 13 00:08:33 IST 2023","705","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed Jan 18 09:12:43 IST 2023","Wed Jan 18 09:12:44 IST 2023","616","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Wed Jan 18 09:12:53 IST 2023","Wed Jan 18 09:12:57 IST 2023","3129","","Verify login page","","","","TC 01",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".eq() - get a DOM element at a specific index",""
"passed","Wed Jan 18 09:12:40 IST 2023","Wed Jan 18 09:12:41 IST 2023","1204","","example to-do app","","","","displays two todo items by default",""
"passed","Fri Jan 13 00:08:35 IST 2023","Fri Jan 13 00:08:36 IST 2023","684","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"broken","Fri Jan 13 00:10:00 IST 2023","Fri Jan 13 00:10:01 IST 2023","806","","Local Storage","","","","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Fri Jan 13 00:10:11 IST 2023","Fri Jan 13 00:10:12 IST 2023","529","","Location","","","","cy.location() - get window.location",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Fri Jan 13 00:07:41 IST 2023","Fri Jan 13 00:07:42 IST 2023","967","","Actions","","","",".dblclick() - double click on a DOM element",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".last() - get last DOM element",""
"passed","Fri Jan 13 00:09:33 IST 2023","Fri Jan 13 00:09:34 IST 2023","637","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Fri Jan 13 00:07:50 IST 2023","Fri Jan 13 00:07:50 IST 2023","512","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Fri Jan 13 00:09:16 IST 2023","Fri Jan 13 00:09:17 IST 2023","773","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Fri Jan 13 00:08:31 IST 2023","Fri Jan 13 00:08:32 IST 2023","556","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Fri Jan 13 00:08:29 IST 2023","Fri Jan 13 00:08:31 IST 2023","1627","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Fri Jan 13 00:07:33 IST 2023","Fri Jan 13 00:07:34 IST 2023","1054","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Wed Jan 18 09:12:44 IST 2023","Wed Jan 18 09:12:45 IST 2023","606","example to-do app","with a checked task","","","","can delete all completed tasks",""
"skipped","Fri Jan 13 00:19:43 IST 2023","Fri Jan 13 00:19:43 IST 2023","0","","Window","","","","cy.title() - get the title",""
"passed","Fri Jan 13 00:07:35 IST 2023","Fri Jan 13 00:07:36 IST 2023","817","","Actions","","","",".submit() - submit a form",""
"passed","Fri Jan 13 00:08:34 IST 2023","Fri Jan 13 00:08:35 IST 2023","798","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Fri Jan 13 00:07:36 IST 2023","Fri Jan 13 00:07:41 IST 2023","4987","","Actions","","","",".click() - click on a DOM element",""
"passed","Fri Jan 13 00:15:52 IST 2023","Fri Jan 13 00:15:52 IST 2023","183","","Spies, Stubs, and Clock","","","","cy.stub() matches depending on arguments",""
"passed","Wed Jan 18 09:12:42 IST 2023","Wed Jan 18 09:12:43 IST 2023","548","","example to-do app","","","","can check off an item as completed",""
"passed","Fri Jan 13 00:10:52 IST 2023","Fri Jan 13 00:10:54 IST 2023","1814","","Navigation","","","","cy.reload() - reload the page",""
"passed","Fri Jan 13 00:10:35 IST 2023","Fri Jan 13 00:10:35 IST 2023","650","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"skipped","Fri Jan 13 00:13:21 IST 2023","Fri Jan 13 00:13:21 IST 2023","2","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Fri Jan 13 00:09:37 IST 2023","Fri Jan 13 00:09:37 IST 2023","372","","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Fri Jan 13 00:08:36 IST 2023","Fri Jan 13 00:08:38 IST 2023","1876","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Fri Jan 13 00:09:36 IST 2023","Fri Jan 13 00:09:36 IST 2023","343","","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Fri Jan 13 00:09:35 IST 2023","Fri Jan 13 00:09:35 IST 2023","458","","Cypress.Cookies","","","",".defaults() - set defaults for all cookies",""
"failed","Fri Jan 13 00:14:45 IST 2023","Fri Jan 13 00:15:07 IST 2023","22426","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed Jan 18 09:13:28 IST 2023","Wed Jan 18 09:13:30 IST 2023","1457","","Verify API responce","","","","TC 01",""
"skipped","Fri Jan 13 00:17:45 IST 2023","Fri Jan 13 00:17:45 IST 2023","0","","Utilities","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Fri Jan 13 00:07:42 IST 2023","Fri Jan 13 00:07:43 IST 2023","588","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Fri Jan 13 00:10:47 IST 2023","Fri Jan 13 00:10:52 IST 2023","4522","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"skipped","Fri Jan 13 00:17:45 IST 2023","Fri Jan 13 00:17:45 IST 2023","1","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Fri Jan 13 00:09:51 IST 2023","Fri Jan 13 00:09:52 IST 2023","1251","","Files","","","","cy.writeFile() - write to a file",""
"failed","Fri Jan 13 00:15:07 IST 2023","Fri Jan 13 00:15:30 IST 2023","22309","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Fri Jan 13 00:09:37 IST 2023","Fri Jan 13 00:09:38 IST 2023","285","","Cypress.platform","","","","Get underlying OS name",""
"skipped","Fri Jan 13 00:13:21 IST 2023","Fri Jan 13 00:13:21 IST 2023","0","","Querying","","","","best practices - selecting elements",""
"passed","Fri Jan 13 00:09:51 IST 2023","Fri Jan 13 00:09:51 IST 2023","312","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Fri Jan 13 00:07:34 IST 2023","Fri Jan 13 00:07:35 IST 2023","1020","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Fri Jan 13 00:10:29 IST 2023","Fri Jan 13 00:10:29 IST 2023","856","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Fri Jan 13 00:08:11 IST 2023","Fri Jan 13 00:08:13 IST 2023","1841","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Tue Jan 17 08:49:06 IST 2023","Tue Jan 17 08:49:10 IST 2023","3842","","Validate todo page","","","","TC 01",""
"passed","Fri Jan 13 00:15:52 IST 2023","Fri Jan 13 00:15:52 IST 2023","291","","Spies, Stubs, and Clock","","","","matches call arguments using Sinon matchers",""
"passed","Fri Jan 13 00:08:35 IST 2023","Fri Jan 13 00:08:35 IST 2023","569","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Fri Jan 13 00:09:36 IST 2023","Fri Jan 13 00:09:37 IST 2023","417","","Cypress.env()","","","","Get environment variables",""
"passed","Fri Jan 13 00:09:15 IST 2023","Fri Jan 13 00:09:15 IST 2023","868","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Fri Jan 13 00:08:53 IST 2023","Fri Jan 13 00:08:54 IST 2023","1496","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Wed Jan 18 09:14:15 IST 2023","Wed Jan 18 09:14:17 IST 2023","1976","","Validate todo page","","","","TC 02",""
"passed","Fri Jan 13 00:09:34 IST 2023","Fri Jan 13 00:09:35 IST 2023","600","","Cypress.Cookies","","","",".preserveOnce() - preserve cookies by key",""
"failed","Fri Jan 13 00:12:15 IST 2023","Fri Jan 13 00:12:35 IST 2023","20237","","Validate fixture","","","","TC 01",""
"passed","Fri Jan 13 00:08:54 IST 2023","Fri Jan 13 00:08:55 IST 2023","503","","Connectors","","","",".its() - get properties on the current subject",""
"skipped","Fri Jan 13 00:19:09 IST 2023","Fri Jan 13 00:19:09 IST 2023","1","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Fri Jan 13 00:11:17 IST 2023","Fri Jan 13 00:11:20 IST 2023","2641","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Wed Jan 18 09:12:44 IST 2023","Wed Jan 18 09:12:44 IST 2023","820","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Wed Jan 18 09:13:38 IST 2023","Wed Jan 18 09:13:44 IST 2023","6133","","Verify login for Orange HRM","","","","TC 01",""
"passed","Fri Jan 13 00:07:33 IST 2023","Fri Jan 13 00:07:33 IST 2023","595","","Actions","","","",".focus() - focus on a DOM element",""
"broken","Fri Jan 13 00:18:12 IST 2023","Fri Jan 13 00:18:35 IST 2023","22301","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Fri Jan 13 00:09:38 IST 2023","Fri Jan 13 00:09:38 IST 2023","315","","Cypress.spec","","","","Get current spec information",""
"passed","Fri Jan 13 00:09:49 IST 2023","Fri Jan 13 00:09:50 IST 2023","1371","","Files","","","","cy.fixture() - load a fixture",""
"passed","Fri Jan 13 00:11:20 IST 2023","Fri Jan 13 00:11:22 IST 2023","1842","","Network Requests","","","","cy.request() with query parameters",""
"passed","Wed Jan 18 09:13:07 IST 2023","Wed Jan 18 09:13:16 IST 2023","8640","","Verify the env","","","","TC 03",""
"passed","Fri Jan 13 00:09:17 IST 2023","Fri Jan 13 00:09:17 IST 2023","667","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Fri Jan 13 00:09:12 IST 2023","Fri Jan 13 00:09:15 IST 2023","2058","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".first() - get first DOM element",""
"passed","Fri Jan 13 00:08:55 IST 2023","Fri Jan 13 00:08:55 IST 2023","567","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Fri Jan 13 00:07:50 IST 2023","Fri Jan 13 00:07:51 IST 2023","644","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","1","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed Jan 18 09:12:57 IST 2023","Wed Jan 18 09:12:59 IST 2023","1950","","Verify login page","","","","TC 02",""
"passed","Fri Jan 13 00:11:28 IST 2023","Fri Jan 13 00:11:30 IST 2023","2361","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Fri Jan 13 00:09:15 IST 2023","Fri Jan 13 00:09:16 IST 2023","511","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Fri Jan 13 00:08:57 IST 2023","Fri Jan 13 00:08:57 IST 2023","610","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Fri Jan 13 00:10:27 IST 2023","Fri Jan 13 00:10:29 IST 2023","1193","","Misc","","","","cy.exec() - execute a system command",""
"passed","Fri Jan 13 00:07:48 IST 2023","Fri Jan 13 00:07:50 IST 2023","1885","","Actions","","","",".select() - select an option in a <select> element",""
"broken","Fri Jan 13 00:18:47 IST 2023","Fri Jan 13 00:19:09 IST 2023","22041","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Fri Jan 13 00:07:51 IST 2023","Fri Jan 13 00:07:54 IST 2023","2487","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"broken","Fri Jan 13 00:12:59 IST 2023","Fri Jan 13 00:13:21 IST 2023","22154","","Querying","","","","cy.get() - query DOM elements",""
"skipped","Fri Jan 13 00:17:45 IST 2023","Fri Jan 13 00:17:45 IST 2023","1","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Fri Jan 13 00:07:45 IST 2023","Fri Jan 13 00:07:48 IST 2023","2828","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed Jan 18 09:14:04 IST 2023","Wed Jan 18 09:14:07 IST 2023","3287","","Verify the login functionality","","","","TC 02",""
"passed","Fri Jan 13 00:09:36 IST 2023","Fri Jan 13 00:09:36 IST 2023","514","","Cypress.config()","","","","Get and set configuration options",""
"passed","Wed Jan 18 09:13:56 IST 2023","Wed Jan 18 09:14:04 IST 2023","7540","","Verify the login functionality","","","","TC 01",""
"skipped","Fri Jan 13 00:16:55 IST 2023","Fri Jan 13 00:16:55 IST 2023","0","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Fri Jan 13 00:10:26 IST 2023","Fri Jan 13 00:10:27 IST 2023","1725","","Misc","","","",".end() - end the command chain",""
"skipped","Fri Jan 13 00:13:21 IST 2023","Fri Jan 13 00:13:21 IST 2023","1","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Fri Jan 13 00:08:58 IST 2023","Fri Jan 13 00:08:58 IST 2023","482","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
